species,active_pokedex,height,pokemonScale,pokemonOffset,trainerScale,trainerOffset,red_height_ratio,red_baseline_gap_px,leaf_height_ratio,leaf_baseline_gap_px,issues
GLIGAR,True,11,350,-1,256,-2,0.731,-8.8,0.731,-8.8,red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
STEELIX,True,92,278,-1,557,13,2.295,1.2,2.295,1.2,red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
SNUBBULL,True,6,465,18,256,-2,0.38,-0.5,0.38,-0.5,red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
GRANBULL,True,14,256,3,256,-2,0.945,0.0,0.945,0.0,red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
QWILFISH,True,5,430,0,256,-2,0.465,-15.9,0.465,-15.9,red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
SCIZOR,True,18,282,0,282,0,1.164,0.9,1.164,0.9,red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
SHUCKLE,True,6,485,16,256,-2,0.432,-0.9,0.432,-0.9,red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
HERACROSS,True,15,285,0,283,-2,1.029,0.0,1.029,0.0,red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
SNEASEL,True,9,413,-3,256,-2,0.597,-15.3,0.597,-15.3,red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
TEDDIURSA,True,6,455,17,256,-2,0.44,-0.2,0.44,-0.2,red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
URSARING,True,18,275,0,280,0,1.148,0.5,1.148,0.5,red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
SLUGMA,True,7,329,14,256,-2,0.523,-0.2,0.523,-0.2,red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
MAGCARGO,True,8,332,14,256,-2,0.645,-0.3,0.645,-0.3,red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
SWINUB,True,4,324,19,256,-2,0.316,-0.5,0.316,-0.5,red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
PILOSWINE,True,11,306,8,256,-2,0.73,-0.9,0.73,-0.9,red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
CORSOLA,True,6,410,15,256,-2,0.443,-1.5,0.443,-1.5,red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
REMORAID,True,6,316,4,256,-2,0.516,-10.4,0.516,-10.4,red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
OCTILLERY,True,9,296,9,256,-2,0.676,-1.0,0.676,-1.0,red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
DELIBIRD,True,9,293,8,256,-2,0.763,-0.0,0.763,-0.0,red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
MANTINE,True,21,275,0,360,6,1.5,0.8,1.5,0.8,red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
SKARMORY,True,17,285,0,276,0,1.127,-0.0,1.127,-0.0,red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
HOUNDOUR,True,6,393,15,256,-2,0.486,-0.3,0.486,-0.3,red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
HOUNDOOM,True,14,256,2,256,-2,0.982,0.0,0.982,0.0,red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
KINGDRA,True,18,257,1,293,1,1.223,0.8,1.223,0.8,red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
PHANPY,True,5,465,20,256,-2,0.32,-0.2,0.32,-0.2,red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
DONPHAN,True,11,313,9,256,-2,0.714,-0.4,0.714,-0.4,red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
PORYGON2,True,6,320,15,256,-2,0.509,-0.4,0.509,-0.4,red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
STANTLER,True,14,277,-1,277,0,1.145,-0.1,1.145,-0.1,red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
SMEARGLE,True,12,287,5,256,-2,0.827,-0.8,0.827,-0.8,red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
TYROGUE,True,7,292,8,256,-2,0.733,-0.8,0.733,-0.8,red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
HITMONTOP,True,14,256,2,257,-2,0.967,0.1,0.967,0.1,red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
SMOOCHUM,True,4,440,19,256,-2,0.381,-0.1,0.381,-0.1,red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
ELEKID,True,6,363,13,256,-2,0.564,-0.5,0.564,-0.5,red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
MAGBY,True,7,284,11,256,-2,0.623,-0.9,0.623,-0.9,red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
MILTANK,True,12,280,3,256,-2,0.881,-0.4,0.881,-0.4,red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
BLISSEY,True,15,256,3,310,3,1.123,0.4,1.123,0.4,red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
RAIKOU,True,19,283,0,359,6,1.476,0.8,1.476,0.8,red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
ENTEI,True,21,283,0,370,7,1.521,0.5,1.521,0.5,red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
SUICUNE,True,20,286,0,371,7,1.509,0.3,1.509,0.3,red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
LARVITAR,True,6,472,16,256,-2,0.434,-0.5,0.434,-0.5,red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
PUPITAR,True,12,292,8,256,-2,0.749,-0.8,0.749,-0.8,red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
TYRANITAR,True,20,285,0,383,7,1.564,1.0,1.564,1.0,red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
LUGIA,True,52,283,0,742,18,3.051,0.3,3.051,0.3,red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
HO_OH,True,38,283,0,620,16,2.549,0.1,2.549,0.1,red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
CELEBI,True,6,393,-10,256,-2,0.426,-27.3,0.426,-27.3,red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
POOCHYENA,True,5,481,18,256,-2,0.387,-0.4,0.387,-0.4,red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
MIGHTYENA,True,10,359,9,256,-2,0.726,-0.0,0.726,-0.0,red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
ZIGZAGOON,True,4,560,21,256,-2,0.299,-0.2,0.299,-0.2,red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
LINOONE,True,5,321,5,256,-2,0.87,-0.9,0.87,-0.9,red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
WURMPLE,True,3,711,22,256,-2,0.236,-0.5,0.236,-0.5,red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
SILCOON,True,6,431,19,256,-2,0.356,-1.1,0.356,-1.1,red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
BEAUTIFLY,True,10,298,-1,256,-2,0.734,-10.2,0.734,-10.2,red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
CASCOON,True,7,391,19,256,-2,0.369,0.5,0.369,0.5,red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
DUSTOX,True,12,269,1,256,-2,0.692,-11.8,0.692,-11.8,red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
LOTAD,True,5,406,17,256,-2,0.344,-0.7,0.344,-0.7,red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
LOMBRE,True,12,277,7,256,-2,0.756,-0.7,0.756,-0.7,red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
LUDICOLO,True,15,283,0,282,0,1.16,0.8,1.16,0.8,red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
SEEDOT,True,5,472,20,256,-2,0.375,-0.3,0.375,-0.3,red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
NUZLEAF,True,10,299,8,256,-2,0.747,-0.5,0.747,-0.5,red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
SHIFTRY,True,13,290,2,256,-2,0.995,-0.5,0.995,-0.5,red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
NINCADA,True,5,405,20,256,-2,0.322,-0.2,0.322,-0.2,red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
NINJASK,True,8,383,-9,256,-2,0.474,-23.3,0.474,-23.3,red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
SHEDINJA,True,8,372,-8,256,-2,0.551,-21.9,0.551,-21.9,red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
TAILLOW,True,3,465,20,256,-2,0.3,-0.2,0.3,-0.2,red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
SWELLOW,True,7,428,13,256,-2,0.555,-0.4,0.555,-0.4,red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
SHROOMISH,True,4,513,20,256,-2,0.29,-1.0,0.29,-1.0,red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
BRELOOM,True,12,324,6,256,-2,0.776,-0.9,0.776,-0.9,red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
SPINDA,True,11,321,9,256,-2,0.711,-0.9,0.711,-0.9,red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
WINGULL,True,6,295,-2,256,-2,0.347,-24.1,0.347,-24.1,red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
PELIPPER,True,12,288,1,256,-2,0.889,-3.1,0.889,-3.1,red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
SURSKIT,True,5,375,17,256,-2,0.459,-0.4,0.459,-0.4,red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
MASQUERAIN,True,8,378,-1,256,-2,0.727,-9.0,0.727,-9.0,red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
WAILMER,True,20,256,10,493,10,1.225,0.9,1.225,0.9,red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
WAILORD,True,145,276,-1,1428,20,4.515,-6.2,4.515,-6.2,red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
SKITTY,True,6,492,18,256,-2,0.378,-0.1,0.378,-0.1,red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
DELCATTY,True,11,322,9,256,-2,0.694,-0.9,0.694,-0.9,red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
KECLEON,True,10,316,8,256,-2,0.751,-0.7,0.751,-0.7,red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
BALTOY,True,5,384,18,256,-3,0.424,0.7,0.424,0.7,red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
CLAYDOL,True,15,256,3,280,0,1.094,0.7,1.094,0.7,red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
NOSEPASS,True,10,256,9,289,1,0.842,0.5,0.842,0.5,red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
TORKOAL,True,5,392,9,256,-2,0.689,-0.4,0.689,-0.4,red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
SABLEYE,True,5,451,15,256,-2,0.454,-0.9,0.454,-0.9,red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
BARBOACH,True,4,581,-2,256,-2,0.336,-21.7,0.336,-21.7,red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
WHISCASH,True,9,317,1,256,-2,0.675,-9.4,0.675,-9.4,red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
LUVDISC,True,6,371,2,256,-2,0.389,-21.5,0.389,-21.5,red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
CORPHISH,True,6,484,18,256,-2,0.394,-0.4,0.394,-0.4,red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
CRAWDAUNT,True,11,365,7,256,-2,0.778,-0.3,0.778,-0.3,red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
FEEBAS,True,6,423,3,256,-2,0.462,-14.5,0.462,-14.5,red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
MILOTIC,True,62,282,-1,382,7,1.576,0.3,1.576,0.3,red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
CARVANHA,True,8,362,0,256,-2,0.694,-10.6,0.694,-10.6,red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
SHARPEDO,True,18,265,0,342,4,1.408,0.8,1.408,0.8,red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
TRAPINCH,True,7,298,15,256,-2,0.5,-0.3,0.5,-0.3,red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
VIBRAVA,True,11,370,15,256,-2,0.516,-0.2,0.516,-0.2,red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
FLYGON,True,20,280,0,299,2,1.204,-0.2,1.204,-0.2,red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
MAKUHITA,True,10,256,9,256,-2,0.727,0.0,0.727,0.0,red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
HARIYAMA,True,23,268,-1,375,6,1.552,1.4,1.552,1.4,red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
ELECTRIKE,True,6,290,16,256,-2,0.433,-0.6,0.433,-0.6,red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
MANECTRIC,True,15,256,1,257,-2,1.022,0.1,1.022,0.1,red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
NUMEL,True,7,310,14,256,-2,0.495,-1.0,0.495,-1.0,red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
CAMERUPT,True,19,256,6,345,4,1.225,2.0,1.225,2.0,red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
SPHEAL,True,8,315,15,256,-2,0.488,-1.0,0.488,-1.0,red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
SEALEO,True,11,338,12,256,-2,0.62,-0.3,0.62,-0.3,red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
WALREIN,True,14,305,2,277,0,0.991,-0.6,0.991,-0.6,red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
CACNEA,True,4,455,19,256,-2,0.327,-1.0,0.327,-1.0,red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
CACTURNE,True,13,327,3,256,-2,0.897,-0.9,0.897,-0.9,red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
SNORUNT,True,7,380,14,256,-2,0.502,-0.9,0.502,-0.9,red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
GLALIE,True,15,256,3,344,2,1.099,-0.1,1.099,-0.1,red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
LUNATONE,True,10,300,1,256,-2,0.698,-8.4,0.698,-8.4,red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
SOLROCK,True,12,328,-3,256,-2,0.88,-7.8,0.88,-7.8,red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
AZURILL,True,2,603,21,256,-2,0.286,-0.8,0.286,-0.8,red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
SPOINK,True,7,423,15,256,-2,0.517,-0.1,0.517,-0.1,red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
GRUMPIG,True,9,358,9,256,-2,0.715,-0.7,0.715,-0.7,red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
PLUSLE,True,4,515,-9,256,-2,0.362,-29.1,0.362,-29.1,red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
MINUN,True,4,512,-7,256,-2,0.382,-26.0,0.382,-26.0,red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
MAWILE,True,6,466,15,256,-3,0.469,0.2,0.469,0.2,red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
MEDITITE,True,6,465,17,256,-2,0.4,-1.0,0.4,-1.0,red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
MEDICHAM,True,13,298,2,256,-2,0.953,-0.4,0.953,-0.4,red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
SWABLU,True,4,422,-8,256,-2,0.397,-27.9,0.397,-27.9,red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
ALTARIA,True,11,327,0,256,-2,0.84,-5.5,0.84,-5.5,red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
WYNAUT,True,6,453,17,256,-2,0.411,-0.7,0.411,-0.7,red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
DUSKULL,True,8,376,13,256,-2,0.569,-1.0,0.569,-1.0,red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
DUSCLOPS,True,16,256,2,299,2,1.125,0.5,1.125,0.5,red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
ROSELIA,True,3,677,20,256,-2,0.33,0.1,0.33,0.1,red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
SLAKOTH,True,8,291,16,256,-2,0.48,-0.7,0.48,-0.7,red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
VIGOROTH,True,14,301,1,256,-2,0.99,-0.8,0.99,-0.8,red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
SLAKING,True,20,277,5,326,3,0.984,-0.2,0.984,-0.2,red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
GULPIN,True,4,593,22,256,-2,0.267,-1.0,0.267,-1.0,red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
SWALOT,True,17,256,5,345,4,1.176,2.0,1.176,2.0,red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
TROPIUS,True,20,283,-1,371,6,1.525,0.6,1.525,0.6,red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
WHISMUR,True,6,373,16,256,-2,0.462,-0.6,0.462,-0.6,red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
LOUDRED,True,10,356,8,256,-2,0.745,-0.1,0.745,-0.1,red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
EXPLOUD,True,15,284,1,256,-2,1.016,-0.1,1.016,-0.1,red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
CLAMPERL,True,4,691,22,256,-2,0.236,-0.3,0.236,-0.3,red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
HUNTAIL,True,17,307,1,256,-2,0.849,-3.8,0.849,-3.8,red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
GOREBYSS,True,18,278,5,256,-2,0.753,-4.7,0.753,-4.7,red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
ABSOL,True,12,301,1,256,-2,0.974,-0.8,0.974,-0.8,red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
SHUPPET,True,6,440,-3,256,-2,0.413,-21.5,0.413,-21.5,red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
BANETTE,True,11,262,9,256,-2,0.711,-0.5,0.711,-0.5,red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
SEVIPER,True,27,275,6,256,-2,0.88,-0.7,0.88,-0.7,red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
ZANGOOSE,True,13,256,2,256,-2,0.982,0.0,0.982,0.0,red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
RELICANTH,True,10,316,5,256,-2,0.692,-7.0,0.692,-7.0,red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
CASTFORM,True,3,435,-5,256,-2,0.332,-25.2,0.332,-25.2,red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
VOLBEAT,True,7,442,-4,256,-2,0.474,-19.1,0.474,-19.1,red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
ILLUMISE,True,6,572,-4,256,-2,0.374,-22.3,0.374,-22.3,red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
LILEEP,True,10,305,8,256,-2,0.763,-0.0,0.763,-0.0,red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
CRADILY,True,15,275,-1,269,-1,1.12,0.3,1.12,0.3,red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
ANORITH,True,7,296,4,256,-2,0.755,-4.2,0.755,-4.2,red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
ARMALDO,True,15,312,2,271,-1,1.011,-0.0,1.011,-0.0,red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
RALTS,True,4,457,18,256,-2,0.356,-1.5,0.356,-1.5,red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
KIRLIA,True,8,354,10,256,-2,0.657,-0.2,0.657,-0.2,red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
GARDEVOIR,True,16,277,0,276,-1,1.141,0.9,1.141,0.9,red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
BAGON,True,6,448,17,256,-2,0.416,0.0,0.416,0.0,red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
SHELGON,True,11,311,10,256,-2,0.673,-0.1,0.673,-0.1,red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
SALAMENCE,True,15,272,2,307,0,1.149,2.5,1.149,2.5,red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
BELDUM,True,6,414,-1,256,-2,0.382,-19.5,0.382,-19.5,red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
METANG,True,12,256,3,272,-2,0.927,0.8,0.927,0.8,red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
METAGROSS,True,16,272,3,461,4,1.387,6.3,1.387,6.3,red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
REGIROCK,True,17,256,1,309,1,1.251,2.3,1.251,2.3,red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
REGICE,True,18,265,0,317,3,1.305,0.9,1.305,0.9,red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
REGISTEEL,True,19,256,0,359,6,1.479,0.9,1.479,0.9,red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
CHIMECHO,True,6,505,-4,256,-2,0.488,-19.8,0.488,-19.8,red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
BUNEARY,True,4,479,16,256,-2,0.476,-2.3,0.476,-2.3,red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
LOPUNNY,True,12,288,5,272,-2,0.979,2.7,0.979,2.7,red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
OMATO,True,1,256,0,256,-2,0.655,-11.0,0.655,-11.0,default calibration: review; red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
OMATOPS,True,1,256,0,256,-2,0.873,-5.0,0.873,-5.0,default calibration: review; red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
STARLY,True,3,465,15,256,-2,0.39,-3.5,0.39,-3.5,red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
STARAVIA,True,6,356,8,256,-2,0.68,-2.3,0.68,-2.3,red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
STARAPTOR,True,12,282,0,256,-2,1.056,0.0,1.056,0.0,red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
TANGROWTH,True,20,275,1,298,2,1.241,2.2,1.241,2.2,red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
COMBEE,True,3,256,0,256,-2,0.6,-13.0,0.6,-13.0,default calibration: review; red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
VESPIQUEN,True,12,256,0,256,-2,1.018,-2.0,1.018,-2.0,default calibration: review; red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
BUDEW,True,2,610,23,256,-2,0.259,0.7,0.259,0.7,red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
ROSERADE,True,9,256,0,256,-2,1.018,-3.0,1.018,-3.0,placeholder question-mark sprite; default calibration: review; red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
MAGNEZONE,True,12,256,0,256,-2,0.909,-5.0,0.909,-5.0,default calibration: review; red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
ELECTIVIRE,True,18,256,0,256,-2,1.145,3.0,1.145,3.0,default calibration: review; red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
AMBIPOM,True,12,256,0,256,-2,1.164,3.0,1.164,3.0,default calibration: review; red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
ANNIHILAPE,True,12,256,0,256,-2,1.145,2.0,1.145,2.0,default calibration: review; red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
HONCHKROW,True,9,256,0,256,-2,0.964,-3.0,0.964,-3.0,default calibration: review; red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
CHINGLING,True,2,256,0,256,-2,0.673,-7.0,0.673,-7.0,default calibration: review; red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
BRONZOR,True,5,256,0,256,-2,0.527,-15.0,0.527,-15.0,default calibration: review; red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
BRONZONG,True,13,256,0,256,-2,0.891,-3.0,0.891,-3.0,default calibration: review; red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
MIME_JR,True,6,256,0,256,-2,0.873,-5.0,0.873,-5.0,default calibration: review; red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
MIME_SR,True,10,256,0,256,-2,1.091,2.0,1.091,2.0,default calibration: review; red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
MISMAGIUS,True,9,256,0,256,-2,1.091,1.0,1.091,1.0,default calibration: review; red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
SPIRITOMB,True,10,256,0,256,-2,1.018,-1.0,1.018,-1.0,default calibration: review; red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
DUSKNOIR,True,22,256,0,256,-2,1.036,1.0,1.036,1.0,default calibration: review; red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
OSSCYTHE,True,10,256,0,256,-2,1.164,3.0,1.164,3.0,default calibration: review; red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
RHYPERIOR,True,24,256,0,256,-2,1.145,3.0,1.145,3.0,default calibration: review; red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
CINNABAR_FEEBAS,True,10,256,0,256,-2,1.018,-3.0,1.018,-3.0,placeholder question-mark sprite; default calibration: review; red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
WEAVILE,True,11,256,0,256,-2,0.982,-2.0,0.982,-2.0,default calibration: review; red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
MAMOSWINE,True,25,256,0,256,-2,0.945,1.0,0.945,1.0,default calibration: review; red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
FROSLASS,True,13,256,0,256,-2,0.982,1.0,0.982,1.0,default calibration: review; red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
MAGMORTAR,True,16,256,0,256,-2,1.145,2.0,1.145,2.0,default calibration: review; red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
KABUSTAR,True,10,256,0,256,-2,1.018,-3.0,1.018,-3.0,placeholder question-mark sprite; default calibration: review; red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
KABUKNIGHT,True,10,256,0,256,-2,1.018,-3.0,1.018,-3.0,placeholder question-mark sprite; default calibration: review; red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
AMUNYTE,True,10,256,0,256,-2,1.018,-3.0,1.018,-3.0,placeholder question-mark sprite; default calibration: review; red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
KINKABUTO,True,10,256,0,256,-2,1.018,-3.0,1.018,-3.0,placeholder question-mark sprite; default calibration: review; red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
AEROPTERYX,True,10,256,0,256,-2,1.018,-3.0,1.018,-3.0,placeholder question-mark sprite; default calibration: review; red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
PORYGON_Z,True,9,256,0,256,-2,0.927,-2.0,0.927,-2.0,default calibration: review; red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
LEAFEON,True,10,256,0,256,-2,0.909,-1.0,0.909,-1.0,default calibration: review; red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
GLACEON,True,8,256,0,256,-2,0.964,1.0,0.964,1.0,default calibration: review; red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
