species,symbol,path,issues,reference
BULBASAUR,gMonFootprint_Bulbasaur,graphics/pokemon/bulbasaur/footprint.png,,match
IVYSAUR,gMonFootprint_Ivysaur,graphics/pokemon/ivysaur/footprint.png,,match
VENUSAUR,gMonFootprint_Venusaur,graphics/pokemon/venusaur/footprint.png,,match
CHARMANDER,gMonFootprint_Charmander,graphics/pokemon/charmander/footprint.png,,match
CHARMELEON,gMonFootprint_Charmeleon,graphics/pokemon/charmeleon/footprint.png,,match
CHARIZARD,gMonFootprint_Charizard,graphics/pokemon/charizard/footprint.png,,match
SQUIRTLE,gMonFootprint_Squirtle,graphics/pokemon/squirtle/footprint.png,,match
WARTORTLE,gMonFootprint_Wartortle,graphics/pokemon/wartortle/footprint.png,,match
BLASTOISE,gMonFootprint_Blastoise,graphics/pokemon/blastoise/footprint.png,,match
SCYTHER,gMonFootprint_Scyther,graphics/pokemon/scyther/footprint.png,,match
PINSIR,gMonFootprint_Pinsir,graphics/pokemon/pinsir/footprint.png,,match
CYNDAQUIL,gMonFootprint_Cyndaquil,graphics/pokemon/cyndaquil/footprint.png,,match
QUILAVA,gMonFootprint_Quilava,graphics/pokemon/quilava/footprint.png,,match
TYPHLOSION,gMonFootprint_Typhlosion,graphics/pokemon/typhlosion/footprint.png,,match
TOTODILE,gMonFootprint_Totodile,graphics/pokemon/totodile/footprint.png,,match
CROCONAW,gMonFootprint_Croconaw,graphics/pokemon/croconaw/footprint.png,,match
FERALIGATR,gMonFootprint_Feraligatr,graphics/pokemon/feraligatr/footprint.png,,match
TOGEPI,gMonFootprint_Togepi,graphics/pokemon/togepi/footprint.png,,match
TOGETIC,gMonFootprint_Togetic,graphics/pokemon/togetic/footprint.png,,match
YANMA,gMonFootprint_Yanma,graphics/pokemon/yanma/footprint.png,,match
UNOWN,gMonFootprint_Unown,graphics/pokemon/unown/footprint.png,blank (may be correct for footless species),match
DUNSPARCE,gMonFootprint_Dunsparce,graphics/pokemon/dunsparce/footprint.png,blank (may be correct for footless species),match
GLIGAR,gMonFootprint_Gligar,graphics/pokemon/gligar/footprint.png,,match
SNUBBULL,gMonFootprint_Snubbull,graphics/pokemon/snubbull/footprint.png,,match
GRANBULL,gMonFootprint_Granbull,graphics/pokemon/granbull/footprint.png,,match
SCIZOR,gMonFootprint_Scizor,graphics/pokemon/scizor/footprint.png,,match
REMORAID,gMonFootprint_Remoraid,graphics/pokemon/remoraid/footprint.png,blank (may be correct for footless species),match
OCTILLERY,gMonFootprint_Octillery,graphics/pokemon/octillery/footprint.png,,match
DELIBIRD,gMonFootprint_Delibird,graphics/pokemon/delibird/footprint.png,,match
MANTINE,gMonFootprint_Mantine,graphics/pokemon/mantine/footprint.png,blank (may be correct for footless species),match
SKARMORY,gMonFootprint_Skarmory,graphics/pokemon/skarmory/footprint.png,,match
STANTLER,gMonFootprint_Stantler,graphics/pokemon/stantler/footprint.png,,match
RAIKOU,gMonFootprint_Raikou,graphics/pokemon/raikou/footprint.png,,match
ENTEI,gMonFootprint_Entei,graphics/pokemon/entei/footprint.png,,match
SUICUNE,gMonFootprint_Suicune,graphics/pokemon/suicune/footprint.png,,match
LUGIA,gMonFootprint_Lugia,graphics/pokemon/lugia/footprint.png,,match
HO_OH,gMonFootprint_HoOh,graphics/pokemon/ho_oh/footprint.png,,match
CELEBI,gMonFootprint_Celebi,graphics/pokemon/celebi/footprint.png,,match
ZIGZAGOON,gMonFootprint_Zigzagoon,graphics/pokemon/zigzagoon/footprint.png,,match
LINOONE,gMonFootprint_Linoone,graphics/pokemon/linoone/footprint.png,,match
LOTAD,gMonFootprint_Lotad,graphics/pokemon/lotad/footprint.png,,match
LOMBRE,gMonFootprint_Lombre,graphics/pokemon/lombre/footprint.png,,match
LUDICOLO,gMonFootprint_Ludicolo,graphics/pokemon/ludicolo/footprint.png,,match-original-firered
TAILLOW,gMonFootprint_Taillow,graphics/pokemon/taillow/footprint.png,,match
SWELLOW,gMonFootprint_Swellow,graphics/pokemon/swellow/footprint.png,,match
RALTS,gMonFootprint_Ralts,graphics/pokemon/ralts/footprint.png,,match
KIRLIA,gMonFootprint_Kirlia,graphics/pokemon/kirlia/footprint.png,,match
GARDEVOIR,gMonFootprint_Gardevoir,graphics/pokemon/gardevoir/footprint.png,,match
GALLADE,gMonFootprint_Gallade,graphics/pokemon/gallade/footprint.png,,match
SURSKIT,gMonFootprint_Surskit,graphics/pokemon/surskit/footprint.png,,match
MASQUERAIN,gMonFootprint_Masquerain,graphics/pokemon/masquerain/footprint.png,blank (may be correct for footless species),match
NINCADA,gMonFootprint_Nincada,graphics/pokemon/nincada/footprint.png,,match
NINJASK,gMonFootprint_Ninjask,graphics/pokemon/ninjask/footprint.png,,match
SHEDINJA,gMonFootprint_Shedinja,graphics/pokemon/shedinja/footprint.png,,match
WHISMUR,gMonFootprint_Whismur,graphics/pokemon/whismur/footprint.png,,match
LOUDRED,gMonFootprint_Loudred,graphics/pokemon/loudred/footprint.png,,match
EXPLOUD,gMonFootprint_Exploud,graphics/pokemon/exploud/footprint.png,,match
MAKUHITA,gMonFootprint_Makuhita,graphics/pokemon/makuhita/footprint.png,,match
HARIYAMA,gMonFootprint_Hariyama,graphics/pokemon/hariyama/footprint.png,,match
NOSEPASS,gMonFootprint_Nosepass,graphics/pokemon/nosepass/footprint.png,,match
MEDITITE,gMonFootprint_Meditite,graphics/pokemon/meditite/footprint.png,,match
MEDICHAM,gMonFootprint_Medicham,graphics/pokemon/medicham/footprint.png,,match
ELECTRIKE,gMonFootprint_Electrike,graphics/pokemon/electrike/footprint.png,,match
MANECTRIC,gMonFootprint_Manectric,graphics/pokemon/manectric/footprint.png,,match
VOLBEAT,gMonFootprint_Volbeat,graphics/pokemon/volbeat/footprint.png,,match
ILLUMISE,gMonFootprint_Illumise,graphics/pokemon/illumise/footprint.png,,match
TORKOAL,gMonFootprint_Torkoal,graphics/pokemon/torkoal/footprint.png,,match
SPOINK,gMonFootprint_Spoink,graphics/pokemon/spoink/footprint.png,blank (may be correct for footless species),match
GRUMPIG,gMonFootprint_Grumpig,graphics/pokemon/grumpig/footprint.png,,match
SPINDA,gMonFootprint_Spinda,graphics/pokemon/spinda/footprint.png,,match
TRAPINCH,gMonFootprint_Trapinch,graphics/pokemon/trapinch/footprint.png,,match
VIBRAVA,gMonFootprint_Vibrava,graphics/pokemon/vibrava/footprint.png,,match
FLYGON,gMonFootprint_Flygon,graphics/pokemon/flygon/footprint.png,,match
CACNEA,gMonFootprint_Cacnea,graphics/pokemon/cacnea/footprint.png,,match
CACTURNE,gMonFootprint_Cacturne,graphics/pokemon/cacturne/footprint.png,,match
SWABLU,gMonFootprint_Swablu,graphics/pokemon/swablu/footprint.png,,match
ALTARIA,gMonFootprint_Altaria,graphics/pokemon/altaria/footprint.png,,match
ZANGOOSE,gMonFootprint_Zangoose,graphics/pokemon/zangoose/footprint.png,,match
SEVIPER,gMonFootprint_Seviper,graphics/pokemon/seviper/footprint.png,blank (may be correct for footless species),match
BARBOACH,gMonFootprint_Barboach,graphics/pokemon/barboach/footprint.png,blank (may be correct for footless species),match
WHISCASH,gMonFootprint_Whiscash,graphics/pokemon/whiscash/footprint.png,blank (may be correct for footless species),match
CORPHISH,gMonFootprint_Corphish,graphics/pokemon/corphish/footprint.png,,match
CRAWDAUNT,gMonFootprint_Crawdaunt,graphics/pokemon/crawdaunt/footprint.png,,match
LILEEP,gMonFootprint_Lileep,graphics/pokemon/lileep/footprint.png,,match
CRADILY,gMonFootprint_Cradily,graphics/pokemon/cradily/footprint.png,,match
ANORITH,gMonFootprint_Anorith,graphics/pokemon/anorith/footprint.png,blank (may be correct for footless species),match
ARMALDO,gMonFootprint_Armaldo,graphics/pokemon/armaldo/footprint.png,,match
SHUPPET,gMonFootprint_Shuppet,graphics/pokemon/shuppet/footprint.png,blank (may be correct for footless species),match
BANETTE,gMonFootprint_Banette,graphics/pokemon/banette/footprint.png,,match
ABSOL,gMonFootprint_Absol,graphics/pokemon/absol/footprint.png,,match
SPHEAL,gMonFootprint_Spheal,graphics/pokemon/spheal/footprint.png,blank (may be correct for footless species),match
SEALEO,gMonFootprint_Sealeo,graphics/pokemon/sealeo/footprint.png,blank (may be correct for footless species),match
WALREIN,gMonFootprint_Walrein,graphics/pokemon/walrein/footprint.png,blank (may be correct for footless species),match
BAGON,gMonFootprint_Bagon,graphics/pokemon/bagon/footprint.png,,match
SHELGON,gMonFootprint_Shelgon,graphics/pokemon/shelgon/footprint.png,,match
SALAMENCE,gMonFootprint_Salamence,graphics/pokemon/salamence/footprint.png,,match
BELDUM,gMonFootprint_Beldum,graphics/pokemon/beldum/footprint.png,,match
METANG,gMonFootprint_Metang,graphics/pokemon/metang/footprint.png,,match
METAGROSS,gMonFootprint_Metagross,graphics/pokemon/metagross/footprint.png,,match
SYLVEON,gMonFootprint_Sylveon,graphics/pokemon/sylveon/footprint.png,,match
FARFETCHD_GALARIAN,gMonFootprint_QuestionMark,graphics/pokemon/question_mark/footprint.png,question-mark placeholder,unavailable
TYNAMO,gMonFootprint_Tynamo,graphics/pokemon/tynamo/footprint.png,blank (may be correct for footless species),match
EELEKTRIK,gMonFootprint_Eelektrik,graphics/pokemon/eelektrik/footprint.png,blank (may be correct for footless species),match
EELEKTROSS,gMonFootprint_Eelektross,graphics/pokemon/eelektross/footprint.png,blank (may be correct for footless species),match
RATTATA_ALOLAN,gMonFootprint_QuestionMark,graphics/pokemon/question_mark/footprint.png,question-mark placeholder,unavailable
RATICATE_ALOLAN,gMonFootprint_QuestionMark,graphics/pokemon/question_mark/footprint.png,question-mark placeholder,unavailable
PICHU_ALOLAN,gMonFootprint_QuestionMark,graphics/pokemon/question_mark/footprint.png,question-mark placeholder,unavailable
PIKACHU_ALOLAN,gMonFootprint_QuestionMark,graphics/pokemon/question_mark/footprint.png,question-mark placeholder,unavailable
RAICHU_ALOLAN,gMonFootprint_QuestionMark,graphics/pokemon/question_mark/footprint.png,question-mark placeholder,unavailable
SANDSHREW_ALOLAN,gMonFootprint_QuestionMark,graphics/pokemon/question_mark/footprint.png,question-mark placeholder,unavailable
SANDSLASH_ALOLAN,gMonFootprint_QuestionMark,graphics/pokemon/question_mark/footprint.png,question-mark placeholder,unavailable
DIGLETT_ALOLAN,gMonFootprint_QuestionMark,graphics/pokemon/question_mark/footprint.png,question-mark placeholder,unavailable
DUGTRIO_ALOLAN,gMonFootprint_QuestionMark,graphics/pokemon/question_mark/footprint.png,question-mark placeholder,unavailable
MEOWTH_ALOLAN,gMonFootprint_QuestionMark,graphics/pokemon/question_mark/footprint.png,question-mark placeholder,unavailable
PERSIAN_ALOLAN,gMonFootprint_QuestionMark,graphics/pokemon/question_mark/footprint.png,question-mark placeholder,unavailable
MEOWTH_GALARIAN,gMonFootprint_QuestionMark,graphics/pokemon/question_mark/footprint.png,question-mark placeholder,unavailable
PERRSERKER,gMonFootprint_QuestionMark,graphics/pokemon/question_mark/footprint.png,question-mark placeholder,different
GEODUDE_ALOLAN,gMonFootprint_QuestionMark,graphics/pokemon/question_mark/footprint.png,question-mark placeholder,unavailable
GRAVELER_ALOLAN,gMonFootprint_QuestionMark,graphics/pokemon/question_mark/footprint.png,question-mark placeholder,unavailable
GOLEM_ALOLAN,gMonFootprint_QuestionMark,graphics/pokemon/question_mark/footprint.png,question-mark placeholder,unavailable
GRIMER_ALOLAN,gMonFootprint_QuestionMark,graphics/pokemon/question_mark/footprint.png,question-mark placeholder,unavailable
MUK_ALOLAN,gMonFootprint_QuestionMark,graphics/pokemon/question_mark/footprint.png,question-mark placeholder,unavailable
VULPIX_ALOLAN,gMonFootprint_QuestionMark,graphics/pokemon/question_mark/footprint.png,question-mark placeholder,unavailable
NINETALES_ALOLAN,gMonFootprint_QuestionMark,graphics/pokemon/question_mark/footprint.png,question-mark placeholder,unavailable
EXEGGCUTE_ALOLAN,gMonFootprint_QuestionMark,graphics/pokemon/question_mark/footprint.png,question-mark placeholder,unavailable
EXEGGUTOR_ALOLAN,gMonFootprint_QuestionMark,graphics/pokemon/question_mark/footprint.png,question-mark placeholder,unavailable
CUBONE_ALOLAN,gMonFootprint_QuestionMark,graphics/pokemon/question_mark/footprint.png,question-mark placeholder,unavailable
MAROWAK_ALOLAN,gMonFootprint_QuestionMark,graphics/pokemon/question_mark/footprint.png,question-mark placeholder,unavailable
CORSOLA_GALARIAN,gMonFootprint_QuestionMark,graphics/pokemon/question_mark/footprint.png,question-mark placeholder,unavailable
CURSOLA,gMonFootprint_QuestionMark,graphics/pokemon/question_mark/footprint.png,question-mark placeholder,different
KOFFING_GALARIAN,gMonFootprint_QuestionMark,graphics/pokemon/question_mark/footprint.png,question-mark placeholder,unavailable
WEEZING_GALARIAN,gMonFootprint_QuestionMark,graphics/pokemon/question_mark/footprint.png,question-mark placeholder,unavailable
BAYLEEF,gMonFootprint_Bayleef,graphics/pokemon/bayleef/footprint.png,,match
MEGANIUM,gMonFootprint_Meganium,graphics/pokemon/meganium/footprint.png,,match
SKITTY,gMonFootprint_Skitty,graphics/pokemon/skitty/footprint.png,,match
DELCATTY,gMonFootprint_Delcatty,graphics/pokemon/delcatty/footprint.png,,match
CARVANHA,gMonFootprint_Carvanha,graphics/pokemon/carvanha/footprint.png,blank (may be correct for footless species),match
SHARPEDO,gMonFootprint_Sharpedo,graphics/pokemon/sharpedo/footprint.png,blank (may be correct for footless species),match
WAILMER,gMonFootprint_Wailmer,graphics/pokemon/wailmer/footprint.png,blank (may be correct for footless species),match
WAILORD,gMonFootprint_Wailord,graphics/pokemon/wailord/footprint.png,blank (may be correct for footless species),match
CASTFORM,gMonFootprint_Castform,graphics/pokemon/castform/footprint.png,blank (may be correct for footless species),match
KECLEON,gMonFootprint_Kecleon,graphics/pokemon/kecleon/footprint.png,,match
TROPIUS,gMonFootprint_Tropius,graphics/pokemon/tropius/footprint.png,,match
REGIROCK,gMonFootprint_Regirock,graphics/pokemon/regirock/footprint.png,,match
REGICE,gMonFootprint_Regice,graphics/pokemon/regice/footprint.png,,match
REGISTEEL,gMonFootprint_Registeel,graphics/pokemon/registeel/footprint.png,,match
